x,f(x)
-10,1.838165688
-9.99,1.867054946
-9.98,1.897055805
-9.97,1.928240421
-9.96,1.960662021
-9.95,1.994396606
-9.94,2.029514293
-9.93,2.066107772
-9.92,2.104254814
-9.91,2.144062530
-9.90,2.185619515
-9.89,2.229054944
-9.88,2.274479294
-9.87,2.322026353
-9.86,2.371848169
-9.85,2.424107663
-9.84,2.478975228
-9.83,2.536639385
-9.82,2.597313427
-9.81,2.661233327
-9.80,2.728667918
-9.79,2.799885580
-9.78,2.875232933
-9.77,2.955032487
-9.76,3.039712117
-9.75,3.129700973
-9.74,3.225522066
-9.73,3.327733139
-9.72,3.436995104
-9.71,3.554030111
-9.70,3.679702865
-9.69,3.815000397
-9.68,3.961012734
-9.67,4.119103098
-9.66,4.290753510
-9.65,4.477827993
-9.64,4.682440401
-9.63,4.907147423
-9.62,5.155053833
-9.61,5.429905692
-9.60,5.736330337
-9.59,6.080101456
-9.58,6.468348076
-9.57,6.910283654
-9.56,7.417819922
-9.55,8.006711411
-9.54,8.698111100
-9.53,9.521306835
-9.52,10.51766198
-9.51,11.74837748
-9.50,13.30663307
-9.49,15.34309954
-9.48,18.11801112
-9.47,22.12040256
-9.46,28.39686339
-9.45,39.65225068
-9.44,65.69652572
-9.43,191.4979482
-9.42,-209.3019278
-9.41,-67.66950161
-9.40,-40.36218840
-9.39,-28.75966800
-9.38,-22.33978295
-9.37,-18.26473391
-9.36,-15.44832535
-9.35,-13.38539279
-9.34,-11.80965217
-9.33,-10.56674632
-9.32,-9.561532401
-9.31,-8.731668705
-9.30,-8.035051924
-9.29,-7.442127196
-9.28,-6.931340312
-9.27,-6.486725595
-9.26,-6.096347193
-9.25,-5.750791618
-9.24,-5.442827246
-9.23,-5.166639860
-9.22,-4.917638989
-9.21,-4.691966286
-9.20,-4.486511546
-9.19,-4.298722601
-9.18,-4.126423297
-9.17,-3.967773189
-9.16,-3.821239344
-9.15,-3.685506252
-9.14,-3.559422151
-9.13,-3.442021694
-9.12,-3.332430397
-9.11,-3.229915546
-9.10,-3.133830901
-9.09,-3.043587790
-9.08,-2.958685977
-9.07,-2.878674107
-9.06,-2.803148945
-9.05,-2.731747584
-9.04,-2.664155945
-9.03,-2.600082249
-9.02,-2.539264037
-9.01,-2.481470438
-9.00,-2.426486568
-8.99,-2.374116779
-8.98,-2.324189164
-8.97,-2.276542412
-8.96,-2.231025125
-8.95,-2.187509930
-8.94,-2.145869132
-8.93,-2.105989107
-8.92,-2.067768559
-8.91,-2.031110115
-8.90,-1.995925317
-8.89,-1.962130996
-8.88,-1.929652153
-8.87,-1.898417485
-8.86,-1.868361311
-8.85,-1.839423945
-8.84,-1.811546979
-8.83,-1.784678968
-8.82,-1.758769272
-8.81,-1.733771871
-8.80,-1.709643755
-8.79,-1.686343899
-8.78,-1.663835596
-8.77,-1.642081605
-8.76,-1.621049566
-8.75,-1.600706944
-8.74,-1.581025017
-8.73,-1.561975591
-8.72,-1.543532163
-8.71,-1.525669944
-8.70,-1.508365605
-8.69,-1.491597006
-8.68,-1.475342878
-8.67,-1.459583626
-8.66,-1.444300242
-8.65,-1.429475383
-8.64,-1.415091323
-8.63,-1.401133193
-8.62,-1.387584681
-8.61,-1.374431974
-8.60,-1.361661144
-8.59,-1.349259170
-8.58,-1.337213714
-8.57,-1.325512439
-8.56,-1.314144691
-8.55,-1.303099484
-8.54,-1.292366239
-8.53,-1.281935787
-8.52,-1.271798621
-8.51,-1.261945552
-8.50,-1.252368418
-8.49,-1.243058794
-8.48,-1.234009055
-8.47,-1.225211614
-8.46,-1.216659662
-8.45,-1.208346470
-8.44,-1.200265097
-8.43,-1.192409513
-8.42,-1.184773967
-8.41,-1.177352470
-8.40,-1.170139569
-8.39,-1.163130186
-8.38,-1.156319239
-8.37,-1.149701959
-8.36,-1.143273546
-8.35,-1.137029704
-8.34,-1.130966193
-8.33,-1.125078891
-8.32,-1.119363909
-8.31,-1.113817637
-8.30,-1.108436221
-8.29,-1.103216458
-8.28,-1.098154935
-8.27,-1.093248253
-8.26,-1.088493790
-8.25,-1.083888432
-8.24,-1.079429341
-8.23,-1.075113753
-8.22,-1.070939317
-8.21,-1.066903340
-8.20,-1.063003631
-8.19,-1.059237943
-8.18,-1.055603783
-8.17,-1.052099583
-8.16,-1.048722954
-8.15,-1.045472194
-8.14,-1.042345493
-8.13,-1.039340899
-8.12,-1.036457170
-8.11,-1.033692304
-8.10,-1.031044927
-8.09,-1.028513656
-8.08,-1.026097444
-8.07,-1.023794464
-8.06,-1.021603757
-8.05,-1.019524031
-8.04,-1.017554446
-8.03,-1.015693675
-8.02,-1.013941243
-8.01,-1.012295556
-8.00,-1.010756151
-7.99,-1.009322306
-7.98,-1.007993261
-7.97,-1.006768027
-7.96,-1.005646482
-7.95,-1.004627602
-7.94,-1.003711041
-7.93,-1.002896298
-7.92,-1.002183120
-7.91,-1.001571115
-7.90,-1.001059753
-7.89,-1.000649045
-7.88,-1.000338545
-7.87,-1.000128366
-7.86,-1.000018070
-7.85,-1.000007817
-7.84,-1.000097729
-7.83,-1.000287643
-7.82,-1.000577529
-7.81,-1.000968003
-7.80,-1.001458898
-7.79,-1.002050321
-7.78,-1.002743053
-7.77,-1.003536818
-7.76,-1.004432540
-7.75,-1.005430557
-7.74,-1.006531173
-7.73,-1.007735120
-7.72,-1.009043127
-7.71,-1.010455613
-7.70,-1.011973451
-7.69,-1.013597222
-7.68,-1.015328032
-7.67,-1.017166553
-7.66,-1.019113946
-7.65,-1.021171276
-7.64,-1.023339070
-7.63,-1.025619120
-7.62,-1.028012440
-7.61,-1.030520067
-7.60,-1.033143581
-7.59,-1.035884407
-7.58,-1.038743880
-7.57,-1.041723795
-7.56,-1.044825487
-7.55,-1.048050786
-7.54,-1.051401506
-7.53,-1.054879645
-7.52,-1.058487054
-7.51,-1.062225880
-7.50,-1.066098094
-7.49,-1.070106223
-7.48,-1.074252232
-7.47,-1.078538748
-7.46,-1.082968313
-7.45,-1.087543849
-7.44,-1.092267883
-7.43,-1.097143019
-7.42,-1.102172815
-7.41,-1.107360183
-7.40,-1.112708308
-7.39,-1.118220896
-7.38,-1.123901081
-7.37,-1.129752893
-7.36,-1.135780292
-7.35,-1.141987056
-7.34,-1.148377373
-7.33,-1.154955909
-7.32,-1.161727040
-7.31,-1.168695577
-7.30,-1.175866666
-7.29,-1.183245159
-7.28,-1.190836665
-7.27,-1.198647043
-7.26,-1.206681785
-7.25,-1.214947433
-7.24,-1.223450207
-7.23,-1.232196987
-7.22,-1.241194660
-7.21,-1.250450847
-7.20,-1.259972906
-7.19,-1.269769150
-7.18,-1.279847859
-7.17,-1.290217849
-7.16,-1.300888302
-7.15,-1.311869251
-7.14,-1.323170373
-7.13,-1.334802788
-7.12,-1.346777364
-7.11,-1.359105713
-7.10,-1.371800425
-7.09,-1.384874187
-7.08,-1.398340777
-7.07,-1.412214468
-7.06,-1.426510436
-7.05,-1.441244313
-7.04,-1.456432633
-7.03,-1.472093587
-7.02,-1.488245281
-7.01,-1.504907622
-7.00,-1.522101016
-6.99,-1.539847688
-6.98,-1.558170785
-6.97,-1.577094763
-6.96,-1.596645821
-6.95,-1.616850980
-6.94,-1.637740554
-6.93,-1.659344774
-6.92,-1.681696848
-6.91,-1.704832285
-6.90,-1.728788445
-6.89,-1.753605243
-6.88,-1.779325696
-6.87,-1.805994995
-6.86,-1.833662100
-6.85,-1.862379080
-6.84,-1.892202162
-6.83,-1.923191394
-6.82,-1.955411438
-6.81,-1.988931714
-6.80,-2.023827191
-6.79,-2.060178558
-6.78,-2.098073464
-6.77,-2.137606200
-6.76,-2.178879564
-6.75,-2.222004723
-6.74,-2.267102615
-6.73,-2.314305053
-6.72,-2.363756687
-6.71,-2.415614437
-6.70,-2.470051076
-6.69,-2.527256518
-6.68,-2.587439470
-6.67,-2.650829857
-6.66,-2.717683017
-6.65,-2.788281562
-6.64,-2.862939837
-6.63,-2.942008208
-6.62,-3.025879158
-6.61,-3.114993568
-6.60,-3.209846651
-6.59,-3.310999150
-6.58,-3.419087446
-6.57,-3.534837063
-6.56,-3.659076338
-6.55,-3.792760461
-6.54,-3.936992472
-6.53,-4.093052227
-6.52,-4.262439718
-6.51,-4.446916262
-6.50,-4.648568297
-6.49,-4.869888444
-6.48,-5.113872603
-6.47,-5.384161132
-6.46,-5.685215153
-6.45,-6.022568786
-6.44,-6.403164532
-6.43,-6.835839241
-6.42,-7.332008723
-6.41,-7.906696984
-6.40,-8.580067437
-6.39,-9.379834856
-6.38,-10.34516403
-6.37,-11.53326800
-6.36,-13.03115145
-6.35,-14.97791363
-6.34,-17.61055532
-6.33,-21.36862269
-6.32,-27.16921433
-6.31,-37.29745679
-6.30,-59.47457887
-6.29,-146.7428118
-6.28,313.9427153
-6.27,75.84410308
-6.26,43.13463718
-6.25,30.13935031
-6.24,23.16322129
-6.23,18.81105339
-6.22,15.83700049
-6.21,13.67614943
-6.20,12.03522844
-6.19,10.74685122
-6.18,9.708519253
-6.17,8.853962031
-6.16,8.138417932
-6.15,7.530579530
-6.14,7.007878603
-6.13,6.553641671
-6.12,6.155285188
-6.11,5.803127855
-6.10,5.489604114
-6.09,5.208715222
-6.08,4.955643517
-6.07,4.726474823
-6.06,4.517996300
-6.05,4.327546918
-6.04,4.152902984
-6.03,3.992191491
-6.02,3.843825736
-6.01,3.706449145
-6.00,3.578899572
-5.99,3.460170689
-5.98,3.349391094
-5.97,3.245798841
-5.96,3.148728070
-5.95,3.057591395
-5.94,2.971871123
-5.93,2.891107334
-5.92,2.814890887
-5.91,2.742857099
-5.90,2.674678751
-5.89,2.610062343
-5.88,2.548743274
-5.87,2.490482655
-5.86,2.435063901
-5.85,2.382290946
-5.84,2.331985045
-5.83,2.283983569
-5.82,2.238137578
-5.81,2.194311105
-5.80,2.152379086
-5.79,2.112226814
-5.78,2.073748893
-5.77,2.036847687
-5.76,2.001433473
-5.75,1.967423057
-5.74,1.934739570
-5.73,1.903311321
-5.72,1.873072168
-5.71,1.843960282
-5.70,1.815918387
-5.69,1.788892769
-5.68,1.762833459
-5.67,1.737693824
-5.66,1.713430041
-5.65,1.690001137
-5.64,1.667368804
-5.63,1.645497050
-5.62,1.624352014
-5.61,1.603901862
-5.60,1.584116647
-5.59,1.564968274
-5.58,1.546430000
-5.57,1.528476881
-5.56,1.511085184
-5.55,1.494232586
-5.54,1.477897884
-5.53,1.462061080
-5.52,1.446703232
-5.51,1.431806354
-5.50,1.417353419
-5.49,1.403328294
-5.48,1.389715658
-5.47,1.376500826
-5.46,1.363670071
-5.45,1.351210195
-5.44,1.339108619
-5.43,1.327353456
-5.42,1.315933293
-5.41,1.304837383
-5.40,1.294055329
-5.39,1.283577310
-5.38,1.273393900
-5.37,1.263496210
-5.36,1.253875571
-5.35,1.244523850
-5.34,1.235433243
-5.33,1.226596218
-5.32,1.218005679
-5.31,1.209654719
-5.30,1.201536844
-5.29,1.193645767
-5.28,1.185975494
-5.27,1.178520267
-5.26,1.171274569
-5.25,1.164233137
-5.24,1.157390907
-5.23,1.150743040
-5.22,1.144284866
-5.21,1.138011949
-5.20,1.131920007
-5.19,1.126004940
-5.18,1.120262820
-5.17,1.114689857
-5.16,1.109282448
-5.15,1.104037129
-5.14,1.098950553
-5.13,1.094019535
-5.12,1.089240999
-5.11,1.084612012
-5.10,1.080129769
-5.09,1.075791548
-5.08,1.071594775
-5.07,1.067536949
-5.06,1.063615696
-5.05,1.059828736
-5.04,1.056173907
-5.03,1.052649083
-5.02,1.049252287
-5.01,1.045981607
-5.00,1.042835212
-4.99,1.039811357
-4.98,1.036908375
-4.97,1.034124686
-4.96,1.031458768
-4.95,1.028909188
-4.94,1.026474578
-4.93,1.024153632
-4.92,1.021945118
-4.91,1.019847873
-4.90,1.017860792
-4.89,1.015982845
-4.88,1.014213053
-4.87,1.012550483
-4.86,1.010994303
-4.85,1.009543690
-4.84,1.008197904
-4.83,1.006956258
-4.82,1.005818141
-4.81,1.004782938
-4.80,1.003850155
-4.79,1.003019312
-4.78,1.002289987
-4.77,1.001661814
-4.76,1.001134471
-4.75,1.000707706
-4.74,1.000381303
-4.73,1.000155090
-4.72,1.000028968
-4.71,1.000002857
-4.70,1.000076755
-4.69,1.000250684
-4.68,1.000524751
-4.67,1.000899088
-4.66,1.001373869
-4.65,1.001949355
-4.64,1.002625821
-4.63,1.003403594
-4.62,1.004283096
-4.61,1.005264751
-4.60,1.006349052
-4.59,1.007536562
-4.58,1.008827883
-4.57,1.010223657
-4.56,1.011724626
-4.55,1.013331534
-4.54,1.015045225
-4.53,1.016866572
-4.52,1.018796535
-4.51,1.020836122
-4.50,1.022986384
-4.49,1.025248467
-4.48,1.027623570
-4.47,1.030112945
-4.46,1.032717933
-4.45,1.035439933
-4.44,1.038280433
-4.43,1.041240963
-4.42,1.044323151
-4.41,1.047528716
-4.40,1.050859415
-4.39,1.054317136
-4.38,1.057903822
-4.37,1.061621522
-4.36,1.065472358
-4.35,1.069458580
-4.34,1.073582498
-4.33,1.077846530
-4.32,1.082253242
-4.31,1.086805250
-4.30,1.091505319
-4.29,1.096356341
-4.28,1.101361297
-4.27,1.106523315
-4.26,1.111845662
-4.25,1.117331721
-4.24,1.122985042
-4.23,1.128809320
-4.22,1.134808396
-4.21,1.140986293
-4.20,1.147347175
-4.19,1.153895420
-4.18,1.160635555
-4.17,1.167572348
-4.16,1.174710731
-4.15,1.182055864
-4.14,1.189613147
-4.13,1.197388197
-4.12,1.205386863
-4.11,1.213615297
-4.10,1.222079891
-4.09,1.230787323
-4.08,1.239744603
-4.07,1.248959024
-4.06,1.258438223
-4.05,1.268190198
-4.04,1.278223321
-4.03,1.288546334
-4.02,1.299168425
-4.01,1.310099192
-4.00,1.321348704
-3.99,1.332927543
-3.98,1.344846766
-3.97,1.357118013
-3.96,1.369753504
-3.95,1.382766076
-3.94,1.396169195
-3.93,1.409977072
-3.92,1.424204642
-3.91,1.438867609
-3.90,1.453982561
-3.89,1.469566953
-3.88,1.485639216
-3.87,1.502218812
-3.86,1.519326278
-3.85,1.536983345
-3.84,1.555212998
-3.83,1.574039559
-3.82,1.593488820
-3.81,1.613588106
-3.80,1.634366432
-3.79,1.655854616
-3.78,1.678085414
-3.77,1.701093676
-3.76,1.724916532
-3.75,1.749593554
-3.74,1.775166987
-3.73,1.801681954
-3.72,1.829186712
-3.71,1.857732922
-3.70,1.887375973
-3.69,1.918175280
-3.68,1.950194726
-3.67,1.983503012
-3.66,2.018174168
-3.65,2.054288060
-3.64,2.091930967
-3.63,2.131196261
-3.62,2.172185146
-3.61,2.215007434
-3.60,2.259782605
-3.59,2.306640753
-3.58,2.355723868
-3.57,2.407187246
-3.56,2.461201002
-3.55,2.517951943
-3.54,2.577645662
-3.53,2.640508919
-3.52,2.706792457
-3.51,2.776774285
-3.50,2.850763441
-3.49,2.929104444
-3.48,3.012182571
-3.47,3.100430061
-3.46,3.194333411
-3.45,3.294442304
-3.44,3.401380074
-3.43,3.515856525
-3.42,3.638683534
-3.41,3.770793869
-3.40,3.913264810
-3.39,4.067347068
-3.38,4.234501252
-3.37,4.416443763
-3.36,4.615205391
-3.35,4.833206736
-3.34,5.073356344
-3.33,5.339180411
-3.32,5.634995709
-3.31,5.966144272
