x,f(x)
-10,-1.542356776
-9.99,-1.576671705
-9.98,-1.612094217
-9.97,-1.648669290
-9.96,-1.686473822
-9.95,-1.725580832
-9.94,-1.766040789
-9.93,-1.807984782
-9.92,-1.851458506
-9.91,-1.896575281
-9.90,-1.943435839
-9.89,-1.992158483
-9.88,-2.042860234
-9.87,-2.095667974
-9.86,-2.150733558
-9.85,-2.208245335
-9.84,-2.268337241
-9.83,-2.331213089
-9.82,-2.397087773
-9.81,-2.466207023
-9.80,-2.538824591
-9.79,-2.615206415
-9.78,-2.695717229
-9.77,-2.780683812
-9.76,-2.870517086
-9.75,-2.965656741
-9.74,-3.066585162
-9.73,-3.173920295
-9.72,-3.288302619
-9.71,-3.410452321
-9.70,-3.541217057
-9.69,-3.681608308
-9.68,-3.832692947
-9.67,-3.995871365
-9.66,-4.172591110
-9.65,-4.364736696
-9.64,-4.574407469
-9.63,-4.804172753
-9.62,-5.057119125
-9.61,-5.337028215
-9.60,-5.648489552
-9.59,-5.997308786
-9.58,-6.390586568
-9.57,-6.837533685
-9.56,-7.350098861
-9.55,-7.944022888
-9.54,-8.640439046
-9.53,-9.468641655
-9.52,-10.47002183
-9.51,-11.70573195
-9.50,-13.26899657
-9.49,-15.31048247
-9.48,-18.09039979
-9.47,-22.09777703
-9.46,-28.37922982
-9.45,-39.63962437
-9.44,-65.68895194
-9.43,-191.4953513
-9.42,209.2996153
-9.41,67.66208184
-9.40,40.34984662
-9.39,28.74225931
-9.38,22.31742024
-9.37,18.23734522
-9.36,15.41592305
-9.35,13.34798882
-9.34,11.76723844
-9.33,10.51932533
-9.32,9.509099241
-9.31,8.674220309
-9.30,7.972577342
-9.29,7.374632345
-9.28,6.858824012
-9.27,6.409176193
-9.26,6.013774631
-9.25,5.663177057
-9.24,5.350175538
-9.23,5.068941141
-9.22,4.814891576
-9.21,4.584165184
-9.20,4.373648650
-9.19,4.180789117
-9.18,4.003419305
-9.17,3.839688370
-9.16,3.688069915
-9.15,3.547244748
-9.14,3.416065374
-9.13,3.293555714
-9.12,3.178852238
-9.11,3.071215133
-9.10,2.969997616
-9.09,2.874618444
-9.08,2.784567353
-9.07,2.699403985
-9.06,2.618711937
-9.05,2.542134655
-9.04,2.469355842
-9.03,2.400088406
-9.02,2.334067160
-9.01,2.271053998
-9.00,2.210848156
-8.99,2.153239066
-8.98,2.098062909
-8.97,2.045149447
-8.96,1.994358066
-8.95,1.945558224
-8.94,1.898620737
-8.93,1.853426298
-8.92,1.809879739
-8.91,1.767880270
-8.90,1.727344385
-8.89,1.688181235
-8.88,1.650321219
-8.87,1.613687306
-8.86,1.578218552
-8.85,1.543852145
-8.84,1.510532206
-8.83,1.478199824
-8.82,1.446812546
-8.81,1.416320630
-8.80,1.386680972
-8.79,1.357851578
-8.78,1.329792577
-8.77,1.302470064
-8.76,1.275851611
-8.75,1.249903569
-8.74,1.224598337
-8.73,1.199903871
-8.72,1.175795954
-8.71,1.152244471
-8.70,1.129233646
-8.69,1.106734826
-8.68,1.084728017
-8.67,1.063196313
-8.66,1.042113469
-8.65,1.021468799
-8.64,1.001241847
-8.63,0.9814130530
-8.62,0.9619727481
-8.61,0.9429024863
-8.60,0.9241861047
-8.59,0.9058150245
-8.58,0.8877733903
-8.57,0.8700489468
-8.56,0.8526297928
-8.55,0.8355041555
-8.54,0.8186626779
-8.53,0.8020982278
-8.52,0.7857946958
-8.51,0.7697440747
-8.50,0.7539395579
-8.49,0.7383742749
-8.48,0.7230348657
-8.47,0.7079144471
-8.46,0.6930088502
-8.45,0.6783081489
-8.44,0.6638044806
-8.43,0.6494932589
-8.42,0.6353647312
-8.41,0.6214176096
-8.40,0.6076401454
-8.39,0.5940304676
-8.38,0.5805811148
-8.37,0.5672868326
-8.36,0.5541425608
-8.35,0.5411440909
-8.34,0.5282843889
-8.33,0.5155602179
-8.32,0.5029671252
-8.31,0.4904998940
-8.30,0.4781536312
-8.29,0.4659253319
-8.28,0.4538099223
-8.27,0.4418047789
-8.26,0.4299062294
-8.25,0.4181079516
-8.24,0.4064082736
-8.23,0.3948038637
-8.22,0.3832900704
-8.21,0.3718648852
-8.20,0.3605222122
-8.19,0.3492627170
-8.18,0.3380818761
-8.17,0.3269760666
-8.16,0.3159426269
-8.15,0.3049791634
-8.14,0.2940813403
-8.13,0.2832486406
-8.12,0.2724752937
-8.11,0.2617620334
-8.10,0.2511056218
-8.09,0.2405015968
-8.08,0.2299476892
-8.07,0.2194426670
-8.06,0.2089831874
-8.05,0.1985681004
-8.04,0.1881939963
-8.03,0.1778596601
-8.02,0.1675611330
-8.01,0.1572968895
-8.00,0.1470644581
-7.99,0.1368639192
-7.98,0.1266896159
-7.97,0.1165414311
-7.96,0.1064175348
-7.95,0.09631494537
-7.94,0.08623138497
-7.93,0.07616512200
-7.92,0.06611462634
-7.91,0.05607707516
-7.90,0.04605088198
