x,f(x)
0.01,-4.605170158
0.02,-3.912022998
0.03,-3.506557894
0.04,-3.218875822
0.05,-2.995732274
0.06,-2.813410712
0.07,-2.659260036
0.08,-2.525728638
0.09,-2.407945612
0.10,-2.302585086
0.11,-2.207274910
0.12,-2.120263532
0.13,-2.040220824
0.14,-1.966112856
0.15,-1.897119985
0.16,-1.832581463
0.17,-1.771956842
0.18,-1.714798428
0.19,-1.660731207
0.20,-1.609437912
0.21,-1.560647748
0.22,-1.514127733
0.23,-1.469675970
0.24,-1.427116355
0.25,-1.386294361
0.26,-1.347073648
0.27,-1.309333320
0.28,-1.272965676
0.29,-1.237874356
0.30,-1.203972804
0.31,-1.171182982
0.32,-1.139434283
0.33,-1.108662624
0.34,-1.078809661
0.35,-1.049822125
0.36,-1.021651248
0.37,-0.9942522734
0.38,-0.9675840262
0.39,-0.9416085400
0.40,-0.9162907322
0.41,-0.8915981188
0.42,-0.8675005672
0.43,-0.8439700700
0.44,-0.8209805518
0.45,-0.7985076962
0.46,-0.7765287896
0.47,-0.7550225842
0.48,-0.7339691750
0.49,-0.7133498878
0.50,-0.6931471804
0.51,-0.6733445532
0.52,-0.6539264674
0.53,-0.6348782726
0.54,-0.6161861394
0.55,-0.5978370006
0.56,-0.5798184954
0.57,-0.5621189182
0.58,-0.5447271756
0.59,-0.5276327420
0.60,-0.5108256238
0.61,-0.4942963216
0.62,-0.4780358010
0.63,-0.4620354594
0.64,-0.4462871026
0.65,-0.4307829160
0.66,-0.4155154438
0.67,-0.4004775666
0.68,-0.3856624808
0.69,-0.3710636812
0.70,-0.3566749438
0.71,-0.3424903090
0.72,-0.3285040670
0.73,-0.3147107448
0.74,-0.3011050928
0.75,-0.2876820726
0.76,-0.2744368458
0.77,-0.2613647640
0.78,-0.2484613590
0.79,-0.2357223336
0.80,-0.2231435514
0.81,-0.2107210314
0.82,-0.1984509387
0.83,-0.1863295782
0.84,-0.1743533871
0.85,-0.1625189295
0.86,-0.1508228897
0.87,-0.1392620673
0.88,-0.1278333715
0.89,-0.1165338162
0.90,-0.1053605157
0.91,-0.09431067946
0.92,-0.08338160894
0.93,-0.07257069280
0.94,-0.06187540370
0.95,-0.05129329440
0.96,-0.04082199454
0.97,-0.03045920748
0.98,-0.02020270732
0.99,-0.01005033585
1.00,0
1.01,0.009950330852
1.02,0.01980262726
1.03,0.02955880224
1.04,0.03922071316
1.05,0.04879016418
1.06,0.05826890810
1.07,0.06765864844
1.08,0.07696104114
1.09,0.08617769624
1.10,0.09531017980
1.11,0.1043600153
1.12,0.1133286853
1.13,0.1222176327
1.14,0.1310282624
1.15,0.1397619424
1.16,0.1484200051
1.17,0.1570037488
1.18,0.1655144385
1.19,0.1739533071
1.20,0.1823215568
1.21,0.1906203596
1.22,0.1988508587
1.23,0.2070141692
1.24,0.2151113796
1.25,0.2231435514
1.26,0.2311117210
1.27,0.2390169004
1.28,0.2468600778
1.29,0.2546422182
1.30,0.2623642646
1.31,0.2700271372
1.32,0.2776317366
1.33,0.2851789422
1.34,0.2926696140
1.35,0.3001045924
1.36,0.3074847000
1.37,0.3148107398
1.38,0.3220834994
1.39,0.3293037470
1.40,0.3364722368
1.41,0.3435897044
1.42,0.3506568716
1.43,0.3576744442
1.44,0.3646431136
1.45,0.3715635564
1.46,0.3784364356
1.47,0.3852624008
1.48,0.3920420878
1.49,0.3987761202
1.50,0.4054651084
1.51,0.4121096508
1.52,0.4187103346
1.53,0.4252677352
1.54,0.4317824164
1.55,0.4382549310
1.56,0.4446858210
1.57,0.4510756192
1.58,0.4574248468
1.59,0.4637340158
1.60,0.4700036292
1.61,0.4762341790
1.62,0.4824261494
1.63,0.4885800146
1.64,0.4946962420
1.65,0.5007752880
1.66,0.5068176022
1.67,0.5128236266
1.68,0.5187937934
1.69,0.5247285292
1.70,0.5306282508
1.71,0.5364933704
1.72,0.5423242906
1.73,0.5481214084
1.74,0.5538851134
1.75,0.5596157878
1.76,0.5653138088
1.77,0.5709795468
1.78,0.5766133642
1.79,0.5822156200
1.80,0.5877866650
1.81,0.5933268452
1.82,0.5988365008
1.83,0.6043159668
1.84,0.6097655718
1.85,0.6151856392
1.86,0.6205764876
1.87,0.6259384310
1.88,0.6312717770
1.89,0.6365768288
1.90,0.6418538862
1.91,0.6471032418
1.92,0.6523251862
1.93,0.6575200028
1.94,0.6626879732
1.95,0.6678293726
1.96,0.6729444732
1.97,0.6780335426
1.98,0.6830968450
1.99,0.6881346386
2.00,0.6931471804
2.01,0.6981347224
2.02,0.7030975114
2.03,0.7080357932
2.04,0.7129498078
2.05,0.7178397932
2.06,0.7227059830
2.07,0.7275486074
2.08,0.7323678934
2.09,0.7371640660
2.10,0.7419373448
2.11,0.7466879478
2.12,0.7514160888
2.13,0.7561219796
2.14,0.7608058286
2.15,0.7654678420
2.16,0.7701082216
2.17,0.7747271674
2.18,0.7793248766
2.19,0.7839015438
2.20,0.7884573606
2.21,0.7929925156
2.22,0.7975071958
2.23,0.8020015858
2.24,0.8064758660
2.25,0.8109302160
2.26,0.8153648132
2.27,0.8197798314
2.28,0.8241754428
2.29,0.8285518174
2.30,0.8329091226
2.31,0.8372475244
2.32,0.8415671856
2.33,0.8458682674
2.34,0.8501509292
2.35,0.8544153280
2.36,0.8586616192
2.37,0.8628899550
2.38,0.8671004876
2.39,0.8712933660
2.40,0.8754687374
2.41,0.8796267476
2.42,0.8837675406
2.43,0.8878912574
2.44,0.8919980394
2.45,0.8960880244
2.46,0.9001613500
2.47,0.9042181504
2.48,0.9082585600
2.49,0.9122827102
2.50,0.9162907322
2.51,0.9202827532
2.52,0.9242589014
2.53,0.9282193026
2.54,0.9321640810
2.55,0.9360933588
2.56,0.9400072584
2.57,0.9439058988
2.58,0.9477893992
2.59,0.9516578754
2.60,0.9555114450
2.61,0.9593502216
2.62,0.9631743180
2.63,0.9669838464
2.64,0.9707789170
2.65,0.9745596398
2.66,0.9783261226
2.67,0.9820784722
2.68,0.9858167944
2.69,0.9895411932
2.70,0.9932517726
2.71,0.9969486346
2.72,1.000631880
2.73,1.004301609
2.74,1.007957920
2.75,1.011600912
2.76,1.015230679
2.77,1.018847320
2.78,1.022450928
2.79,1.026041596
2.80,1.029619417
2.81,1.033184484
2.82,1.036736885
2.83,1.040276712
2.84,1.043804052
2.85,1.047318994
2.86,1.050821625
2.87,1.054312030
2.88,1.057790294
2.89,1.061256502
