x,f(x)
0.01,-6.643856151
0.02,-5.643856180
0.03,-5.058893685
0.04,-4.643856187
0.05,-4.321928097
0.06,-4.058893683
0.07,-3.836501267
0.08,-3.643856182
0.09,-3.473931194
0.10,-3.321928086
0.11,-3.184424567
0.12,-3.058893684
0.13,-2.943416466
0.14,-2.836501268
0.15,-2.736965595
0.16,-2.643856189
0.17,-2.556393349
0.18,-2.473931189
0.19,-2.395928677
0.20,-2.321928095
0.21,-2.251538767
0.22,-2.184424572
0.23,-2.120294234
0.24,-2.058893689
0.25,-2.000000000
0.26,-1.943416472
0.27,-1.888968688
0.28,-1.836501268
0.29,-1.785875195
0.30,-1.736965594
0.31,-1.689659880
0.32,-1.643856190
0.33,-1.599462070
0.34,-1.556393348
0.35,-1.514573174
0.36,-1.473931189
0.37,-1.434402825
0.38,-1.395928677
0.39,-1.358453971
0.40,-1.321928096
0.41,-1.286304185
0.42,-1.251538767
0.43,-1.217591435
0.44,-1.184424571
0.45,-1.152003094
0.46,-1.120294234
0.47,-1.089267338
0.48,-1.058893689
0.49,-1.029146346
0.50,-1
0.51,-0.9714308479
0.52,-0.9434164718
0.53,-0.9159357357
0.54,-0.8889686878
0.55,-0.8624964762
0.56,-0.8365012681
0.57,-0.8109661759
0.58,-0.7858751951
0.59,-0.7612131405
0.60,-0.7369655944
0.61,-0.7131188521
0.62,-0.6896598796
0.63,-0.6665762661
0.64,-0.6438561899
0.65,-0.6214883768
0.66,-0.5994620703
0.67,-0.5777669995
0.68,-0.5563933486
0.69,-0.5353317328
0.70,-0.5145731727
0.71,-0.4941090705
0.72,-0.4739311885
0.73,-0.4540316309
0.74,-0.4344028243
0.75,-0.4150374996
0.76,-0.3959286766
0.77,-0.3770696490
0.78,-0.3584539706
0.79,-0.3400754418
0.80,-0.3219280951
0.81,-0.3040061871
0.82,-0.2863041852
0.83,-0.2688167585
0.84,-0.2515387670
0.85,-0.2344652537
0.86,-0.2175914351
0.87,-0.2009126939
0.88,-0.1844245712
0.89,-0.1681227588
0.90,-0.1520030935
0.91,-0.1360615496
0.92,-0.1202942337
0.93,-0.1046973786
0.94,-0.08926733809
0.95,-0.07400058148
0.96,-0.05889368910
0.97,-0.04394334759
0.98,-0.02914634567
0.99,-0.01449956969
1.00,0
1.01,0.01435529298
1.02,0.02856915215
1.03,0.04264433742
1.04,0.05658352839
1.05,0.07038932792
1.06,0.08406426477
1.07,0.09761079660
1.08,0.1110313124
1.09,0.1243281350
1.10,0.1375035238
1.11,0.1505596766
1.12,0.1634987323
1.13,0.1763227726
1.14,0.1890338244
1.15,0.2016338613
1.16,0.2141248054
1.17,0.2265085298
1.18,0.2387868597
1.19,0.2509615736
1.20,0.2630344059
1.21,0.2750070476
1.22,0.2868811478
1.23,0.2986583154
1.24,0.3103401207
1.25,0.3219280951
1.26,0.3334237339
1.27,0.3448284970
1.28,0.3561438101
1.29,0.3673710655
1.30,0.3785116235
1.31,0.3895668118
1.32,0.4005379297
1.33,0.4114262458
1.34,0.4222330008
1.35,0.4329594073
1.36,0.4436066519
1.37,0.4541758932
1.38,0.4646682674
1.39,0.4750848829
1.40,0.4854268275
1.41,0.4956951628
1.42,0.5058909298
1.43,0.5160151470
1.44,0.5260688118
1.45,0.5360529003
1.46,0.5459683691
1.47,0.5558161552
1.48,0.5655971760
1.49,0.5753123312
1.50,0.5849625013
1.51,0.5945485496
1.52,0.6040713234
1.53,0.6135316528
1.54,0.6229303510
1.55,0.6322682157
1.56,0.6415460289
1.57,0.6507645590
1.58,0.6599245582
1.59,0.6690267650
1.60,0.6780719052
1.61,0.6870606885
1.62,0.6959938135
1.63,0.7048719643
1.64,0.7136958152
1.65,0.7224660248
1.66,0.7311832415
1.67,0.7398481031
1.68,0.7484612332
1.69,0.7570232471
1.70,0.7655347462
1.71,0.7739963251
1.72,0.7824085648
1.73,0.7907720379
1.74,0.7990873065
1.75,0.8073549220
1.76,0.8155754287
1.77,0.8237493608
1.78,0.8318772412
1.79,0.8399595879
1.80,0.8479969069
1.81,0.8559896974
1.82,0.8639384502
1.83,0.8718436486
1.84,0.8797057667
1.85,0.8875252711
1.86,0.8953026214
1.87,0.9030382705
1.88,0.9107326623
1.89,0.9183862343
1.90,0.9259994188
1.91,0.9335726381
1.92,0.9411063114
1.93,0.9486008475
1.94,0.9560566528
1.95,0.9634741242
1.96,0.9708536545
1.97,0.9781956297
1.98,0.9855004310
1.99,0.9927684308
2.00,1
2.01,1.007195502
2.02,1.014355293
2.03,1.021479728
2.04,1.028569152
2.05,1.035623910
2.06,1.042644338
2.07,1.049630768
2.08,1.056583528
2.09,1.063502943
2.10,1.070389328
2.11,1.077243000
2.12,1.084064265
2.13,1.090853431
2.14,1.097610796
2.15,1.104336660
2.16,1.111031313
2.17,1.117695043
2.18,1.124328135
2.19,1.130930870
2.20,1.137503524
2.21,1.144046370
2.22,1.150559677
2.23,1.157043711
2.24,1.163498733
2.25,1.169925001
2.26,1.176322773
2.27,1.182692298
2.28,1.189033824
2.29,1.195347598
2.30,1.201633861
2.31,1.207892852
2.32,1.214124806
2.33,1.220329955
2.34,1.226508530
2.35,1.232660757
2.36,1.238786860
2.37,1.244887059
2.38,1.250961574
2.39,1.257010619
2.40,1.263034406
2.41,1.269033147
2.42,1.275007048
2.43,1.280956314
2.44,1.286881148
2.45,1.292781749
2.46,1.298658316
2.47,1.304511042
2.48,1.310340121
2.49,1.316145742
2.50,1.321928096
2.51,1.327687365
2.52,1.333423734
2.53,1.339137385
2.54,1.344828497
2.55,1.350497247
2.56,1.356143810
2.57,1.361768360
2.58,1.367371066
2.59,1.372952098
2.60,1.378511624
2.61,1.384049807
2.62,1.389566812
2.63,1.395062800
2.64,1.400537930
2.65,1.405992360
2.66,1.411426246
2.67,1.416839742
2.68,1.422233001
2.69,1.427606173
2.70,1.432959407
2.71,1.438292851
2.72,1.443606651
2.73,1.448900951
2.74,1.454175893
2.75,1.459431619
2.76,1.464668266
2.77,1.469885976
2.78,1.475084884
2.79,1.480265123
2.80,1.485426827
2.81,1.490570132
2.82,1.495695163
2.83,1.500802054
2.84,1.505890930
2.85,1.510961919
2.86,1.516015148
2.87,1.521050738
2.88,1.526068812
2.89,1.531069493
2.90,1.536052901
2.91,1.541019153
2.92,1.545968369
2.93,1.550900665
2.94,1.555816155
2.95,1.560714954
2.96,1.565597176
2.97,1.570462932
2.98,1.575312332
2.99,1.580145484
3.00,1.584962502
3.01,1.589763488
3.02,1.594548549
3.03,1.599317793
3.04,1.604071325
3.05,1.608809242
3.06,1.613531653
3.07,1.618238655
3.08,1.622930351
3.09,1.627606839
3.10,1.632268215
3.11,1.636914580
3.12,1.641546030
3.13,1.646162658
3.14,1.650764560
3.15,1.655351829
3.16,1.659924559
3.17,1.664482841
3.18,1.669026766
3.19,1.673556423
3.20,1.678071906
3.21,1.682573298
3.22,1.687060688
3.23,1.691534165
3.24,1.695993814
3.25,1.700439718
3.26,1.704871964
3.27,1.709290636
3.28,1.713695815
3.29,1.718087585
3.30,1.722466024
3.31,1.726831217
3.32,1.731183241
3.33,1.735522178
3.34,1.739848103
3.35,1.744161096
3.36,1.748461233
3.37,1.752748591
3.38,1.757023246
3.39,1.761285273
3.40,1.765534747
3.41,1.769771739
3.42,1.773996325
3.43,1.778208577
3.44,1.782408565
