x,f(x)
-10,-1.191790198
-9.99,-1.184174828
-9.98,-1.176764848
-9.97,-1.169573808
-9.96,-1.162580762
-9.95,-1.155782777
-9.94,-1.149188799
-9.93,-1.142768342
-9.92,-1.136539008
-9.91,-1.130491656
-9.90,-1.124616245
-9.89,-1.118914465
-9.88,-1.113379788
-9.87,-1.108012520
-9.86,-1.102808928
-9.85,-1.097752874
-9.84,-1.092860084
-9.83,-1.088119914
-9.82,-1.083528712
-9.81,-1.079079453
-9.80,-1.074776070
-9.79,-1.070617433
-9.78,-1.066592928
-9.77,-1.062699928
-9.76,-1.058942353
-9.75,-1.055314639
-9.74,-1.051828629
-9.73,-1.048461470
-9.72,-1.045218613
-9.71,-1.042099339
-9.70,-1.039106840
-9.69,-1.036232015
-9.68,-1.033480320
-9.67,-1.030839765
-9.66,-1.028318711
-9.65,-1.025910222
-9.64,-1.023616814
-9.63,-1.021434423
-9.62,-1.019365711
-9.61,-1.017402471
-9.60,-1.015551199
-9.59,-1.013804970
-9.58,-1.012168133
-9.57,-1.010639797
-9.56,-1.009213626
-9.55,-1.007891282
-9.54,-1.006674667
-9.53,-1.005562063
-9.52,-1.004550148
-9.51,-1.003643133
-9.50,-1.002836424
-9.49,-1.002130375
-9.48,-1.001526298
-9.47,-1.001023883
-9.46,-1.000621355
-9.45,-1.000318528
-9.44,-1.000115298
-9.43,-1.000013561
-9.42,-1.000011049
-9.41,-1.000109659
-9.40,-1.000305869
-9.39,-1.000605683
-9.38,-1.001002029
-9.37,-1.001501792
-9.36,-1.002101872
-9.35,-1.002802218
-9.34,-1.003604391
-9.33,-1.004507988
-9.32,-1.005513999
-9.31,-1.006622889
-9.30,-1.007836184
-9.29,-1.009152301
-9.28,-1.010572702
-9.27,-1.012099746
-9.26,-1.013730571
-9.25,-1.015470920
-9.24,-1.017317508
-9.23,-1.019273990
-9.22,-1.021339507
-9.21,-1.023515972
-9.20,-1.025805204
-9.19,-1.028208427
-9.18,-1.030724734
-9.17,-1.033358129
-9.16,-1.036108163
-9.15,-1.038977154
-9.14,-1.041965466
-9.13,-1.045077719
-9.12,-1.048312456
-9.11,-1.051673493
-9.10,-1.055162767
-9.09,-1.058779747
-9.08,-1.062529866
-9.07,-1.066411002
-9.06,-1.070430430
-9.05,-1.074588074
-9.04,-1.078887011
-9.03,-1.083327698
-9.02,-1.087913870
-9.01,-1.092651447
-9.00,-1.097536510
-8.99,-1.102579280
-8.98,-1.107778587
-8.97,-1.113142326
-8.96,-1.118668289
-8.95,-1.124361072
-8.94,-1.130225268
-8.93,-1.136268062
-8.92,-1.142489479
-8.91,-1.148895742
-8.90,-1.155487774
-8.89,-1.162275090
-8.88,-1.169258524
-8.87,-1.176446935
-8.86,-1.183841939
-8.85,-1.191450846
-8.84,-1.199277296
-8.83,-1.207332688
-8.82,-1.215616548
-8.81,-1.224137977
-8.80,-1.232903450
-8.79,-1.241920639
-8.78,-1.251199341
-8.77,-1.260744220
-8.76,-1.270562777
-8.75,-1.280664352
-8.74,-1.291055989
-8.73,-1.301750605
-8.72,-1.312755124
-8.71,-1.324085282
-8.70,-1.335742705
-8.69,-1.347745612
-8.68,-1.360103966
-8.67,-1.372826079
-8.66,-1.385933764
-8.65,-1.399431274
-8.64,-1.413336177
-8.63,-1.427669204
-8.62,-1.442436580
-8.61,-1.457660780
-8.60,-1.473362494
-8.59,-1.489552650
-8.58,-1.506255683
-8.57,-1.523491803
-8.56,-1.541284039
-8.55,-1.559656496
-8.54,-1.578630948
-8.53,-1.598227926
-8.52,-1.618487155
-8.51,-1.639435226
-8.50,-1.661099229
-8.49,-1.683507722
-8.48,-1.706707538
-8.47,-1.730734016
-8.46,-1.755619227
-8.45,-1.781412285
-8.44,-1.808160583
-8.43,-1.835907450
-8.42,-1.864714720
-8.41,-1.894623603
-8.40,-1.925711423
-8.39,-1.958031195
-8.38,-1.991658374
-8.37,-2.026667804
-8.36,-2.063139753
-8.35,-2.101158866
-8.34,-2.140828343
-8.33,-2.182245355
-8.32,-2.225521019
-8.31,-2.270780586
-8.30,-2.318159162
-8.29,-2.367796688
-8.28,-2.419856599
-8.27,-2.474505269
-8.26,-2.531933049
-8.25,-2.592365030
-8.24,-2.656022062
-8.23,-2.723159149
-8.22,-2.794070078
-8.21,-2.869061808
-8.20,-2.948510785
-8.19,-3.032782748
-8.18,-3.122331769
-8.17,-3.217665423
-8.16,-3.319346188
-8.15,-3.428011877
-8.14,-3.544412210
-8.13,-3.669358824
-8.12,-3.803857430
-8.11,-3.948977207
-8.10,-4.106020882
-8.09,-4.276535665
-8.08,-4.462308135
-8.07,-4.665430282
-8.06,-4.888449493
-8.05,-5.134379739
-8.04,-5.406944248
-8.03,-5.710646665
-8.02,-6.051172041
-8.01,-6.435572625
-8.00,-6.872878492
-7.99,-7.374641264
-7.98,-7.956400004
-7.97,-8.638713445
-7.96,-9.450007316
-7.95,-10.43065122
-7.94,-11.63974162
-7.93,-13.16739567
-7.92,-15.15826642
-7.91,-17.86061616
-7.90,-21.73812335
-7.89,-27.76971853
-7.88,-38.43836465
-7.87,-62.43035052
-7.86,-166.1427745
-7.85,251.1226247
-7.84,71.52454654
-7.83,41.70280034
-7.82,29.43328067
-7.81,22.74412029
-7.80,18.53397910
-7.79,15.64010140
