x,f(x)
-10,0.5440205997
-9.99,0.5356028768
-9.98,0.5271326217
-9.97,0.5186075291
-9.96,0.5100318104
-9.95,0.5014047843
-9.94,0.4927287299
-9.93,0.4840018577
-9.92,0.4752276167
-9.91,0.4664043077
-9.90,0.4575361783
-9.89,0.4486206151
-9.88,0.4396610699
-9.87,0.4306583337
-9.86,0.4216121474
-9.85,0.4125229317
-9.84,0.4033924941
-9.83,0.3942223738
-9.82,0.3850132177
-9.81,0.3757656234
-9.80,0.3664791870
-9.79,0.3571574521
-9.78,0.3477979083
-9.77,0.3384057551
-9.76,0.3289785222
-9.75,0.3195193434
-9.74,0.3100273319
-9.73,0.3005048657
-9.72,0.2909518256
-9.71,0.2813707168
-9.70,0.2717610733
-9.69,0.2621231706
-9.68,0.2524606880
-9.67,0.2427712966
-9.66,0.2330592978
-9.65,0.2233225576
-9.64,0.2135638501
-9.63,0.2037843810
-9.62,0.1939843952
-9.61,0.1841652612
-9.60,0.1743274779
-9.59,0.1644709397
-9.58,0.1545989777
-9.57,0.1447118599
-9.56,0.1348104983
-9.55,0.1248952221
-9.54,0.1149674899
-9.53,0.1050275994
-9.52,0.09507816486
-9.51,0.08511813665
-9.50,0.07515049033
-9.49,0.06517587905
-9.48,0.05519369611
-9.47,0.04520713387
-9.46,0.03521515691
-9.45,0.02521924942
-9.44,0.01522150508
-9.43,0.005221988065
-9.42,-0.004777786859
-9.41,-0.01477770600
-9.40,-0.02477566355
-9.39,-0.03477091599
-9.38,-0.04476319229
-9.37,-0.05475031855
-9.36,-0.06473193550
-9.35,-0.07470830448
-9.34,-0.08467649898
-9.33,-0.09463651057
-9.32,-0.1045857461
-9.31,-0.1145256461
-9.30,-0.1244547029
-9.29,-0.1343701839
-9.28,-0.1442722410
-9.27,-0.1541609839
-9.26,-0.1640326524
-9.25,-0.1738891037
-9.24,-0.1837280433
-9.23,-0.1935493913
-9.22,-0.2033496160
-9.21,-0.2131302612
-9.20,-0.2228903213
-9.19,-0.2326272460
-9.18,-0.2423406248
-9.17,-0.2520305351
-9.16,-0.2616952015
-9.15,-0.2713331444
-9.14,-0.2809444785
-9.13,-0.2905269312
-9.12,-0.3000812863
-9.11,-0.3096056184
-9.10,-0.3190982639
-9.09,-0.3285596043
-9.08,-0.3379878797
-9.07,-0.3473821498
-9.06,-0.3567416572
-9.05,-0.3660660326
-9.04,-0.3753534030
-9.03,-0.3846032180
-9.02,-0.3938148950
-9.01,-0.4029868681
-9.00,-0.4121184980
-8.99,-0.4212092720
-8.98,-0.4302575777
-8.97,-0.4392626269
-8.96,-0.4482244457
-8.95,-0.4571407819
-8.94,-0.4660116431
-8.93,-0.4748362641
-8.92,-0.4836131179
-8.91,-0.4923415982
-8.90,-0.5010207503
-8.89,-0.5096499683
-8.88,-0.5182281160
-8.87,-0.5267545248
-8.86,-0.5352283812
-8.85,-0.5436484628
-8.84,-0.5520143896
-8.83,-0.5603248641
-8.82,-0.5685794127
-8.81,-0.5767771510
-8.80,-0.5849171778
-8.79,-0.5929988543
-8.78,-0.6010209196
-8.77,-0.6089831328
-8.76,-0.6168842834
-8.75,-0.6247239719
-8.74,-0.6325010606
-8.73,-0.6402148702
-8.72,-0.6478646987
-8.71,-0.6554497607
-8.70,-0.6629692408
-8.69,-0.6704223701
