x,f(x)
-10,-0.6483584185
-9.99,-0.6342474447
-9.98,-0.6203111392
-9.97,-0.6065497828
-9.96,-0.5929531706
-9.95,-0.5795150138
-9.94,-0.5662383373
-9.93,-0.5531020007
-9.92,-0.5401147241
-9.91,-0.5272661781
-9.90,-0.5145526186
-9.89,-0.5019680956
-9.88,-0.4895097488
-9.87,-0.4771748255
-9.86,-0.4649576404
-9.85,-0.4528482338
-9.84,-0.4408515549
-9.83,-0.4289612155
-9.82,-0.4171728760
-9.81,-0.4054809635
-9.80,-0.3938830604
-9.79,-0.3823789947
-9.78,-0.3709587895
-9.77,-0.3596237716
-9.76,-0.3483692903
-9.75,-0.3371934406
-9.74,-0.3260956234
-9.73,-0.3150677733
-9.72,-0.3041082637
-9.71,-0.2932162381
-9.70,-0.2823887901
-9.69,-0.2716204214
-9.68,-0.2609131527
-9.67,-0.2502583063
-9.66,-0.2396592366
-9.65,-0.2291088947
-9.64,-0.2186075479
-9.63,-0.2081523816
-9.62,-0.1977410409
-9.61,-0.1873701918
-9.60,-0.1770384792
-9.59,-0.1667414562
-9.58,-0.1564801586
-9.57,-0.1462515647
-9.56,-0.1360525918
-9.55,-0.1258808055
-9.54,-0.1157348596
-9.53,-0.1056117695
-9.52,-0.09551078461
-9.51,-0.08542823331
-9.50,-0.07536364902
-9.49,-0.06531472813
-9.48,-0.05527793811
-9.47,-0.04525342068
-9.46,-0.03523703802
-9.45,-0.02522728245
-9.44,-0.01522326008
-9.43,-0.005222058880
-9.42,0.004777839647
-9.41,0.01477932651
-9.40,0.02478324167
-9.39,0.03479197613
-9.38,0.04480804633
-9.37,0.05483254213
-9.36,0.06486799376
-9.35,0.07491765340
-9.34,0.08498170621
-9.33,0.09506313083
-9.32,0.1051624318
-9.31,0.1152841367
-9.30,0.1254299528
-9.29,0.1355999802
-9.28,0.1457975884
-9.27,0.1560262926
-9.26,0.1662849145
-9.25,0.1765793282
-9.24,0.1869097552
-9.23,0.1972798603
-9.22,0.2076889966
-9.21,0.2181422265
-9.20,0.2286420515
-9.19,0.2391892947
-9.18,0.2497864760
-9.17,0.2604378021
-9.16,0.2711445344
-9.15,0.2819089381
-9.14,0.2927344446
-9.13,0.3036232227
-9.12,0.3145789502
-9.11,0.3256040221
-9.10,0.3367006070
-9.09,0.3478722549
-9.08,0.3591222166
-9.07,0.3704521463
-9.06,0.3818671256
-9.05,0.3933701931
-9.04,0.4049639112
-9.03,0.4166513190
-9.02,0.4284366865
-9.01,0.4403241847
-9.00,0.4523150979
-8.99,0.4644166157
-8.98,0.4766301313
-8.97,0.4889618222
-8.96,0.5014144738
-8.95,0.5139912996
-8.94,0.5266981343
-8.93,0.5395412816
-8.92,0.5525228990
-8.91,0.5656491659
-8.90,0.5789233512
-8.89,0.5923534626
-8.88,0.6059426422
-8.87,0.6196987462
-8.86,0.6336258048
-8.85,0.6477304210
-8.84,0.6620183243
-8.83,0.6764985246
-8.82,0.6911745429
-8.81,0.7060548149
-8.80,0.7211464063
-8.79,0.7364575161
-8.78,0.7519969783
-8.77,0.7677719645
-8.76,0.7837902082
-8.75,0.8000617206
-8.74,0.8165942824
-8.73,0.8334000947
